Player, Career AV
Dakota Allen, 0
Zach Allen, 35
Ugo Amadi, 8
Ryquell Armstead, 2
Ben Banogu, 4
Cody Barton, 22
Jackson Barton, 0
Terry Beckner, 0
Nick Bosa, 57
Kris Boyd, 0
Miles Boykin, 6
Garrett Bradbury, 34
Isaiah Buggs, 0
Ben Burr-Kirven, 2
Devin Bush, 28
Blake Cashman, 19
Demarcus Christmas, 0
L.J. Collier, 16
Dennis Daley, 0
Nate Davis, 27
Jamel Dean, 22
Michael Deiter, 16
Andre Dillard, 12
Emeke Egbule, 0
Noah Fant, 24
Cody Ford, 21
Hjalte Froholdt, 18
Chauncey Gardner-Johnson, 24
Rashan Gary, 31
Myles Gaskin, 0
Zach Gentry, 2
Gerri Green, 0
Kelvin Harmon, 0
Will Harris, 15
Phil Haynes, 6
Trysten Hill, 5
T.J. Hockenson, 30
Justin Hollins, 8
Travis Homer, 0
Amani Hooker, 20
Andy Isabella, 4
Mike Jackson, 13
Jalen Jelks, 0
Gary Jennings, 0
Diontae Johnson, 35
Keesean Johnson, 0
Lonnie Johnson, 10
Bisi Johnson, 0
Michael Jordan, 15
Chris Lindstrom, 43
David Long, 7
Julian Love, 25
Alize Mack, 0
Daylon Mack, 0
Alexander Mattison, 21
Erik McCoy, 33
Kaleb McGary, 39
Terry McLaurin, 47
D.K. Metcalf, 51
Foster Moreau, 13
Anthony Nelson, 15
Josh Oliver, 6
Qadree Ollison, 1
Amani Oruwariye, 12
Javon Patterson, 0
Isaiah Prince, 0
Hunter Renfrow, 21
Riley Ridley, 1
Dalton Risner, 27
Dru Samia, 2
Deebo Samuel, 47
Miles Sanders, 34
Darnell Savage, 24
Jordan Scarlett, 0
Devin Singletary, 36
Darius Slayton, 0
Irv Smith, 9
Kaden Smith, 0
Sutton Smith, 0
Benny Snell, 8
Jace Sternberger, 1
Montez Sweat, 42
Sione Takitaki, 19
Jerry Tillery, 24
Drue Tranquill, 25
Kahale Warring, 0
Ken Webster, 0
Trevon Wesco, 0
Devin White, 46
Dexter Williams, 0
Jonah Williams, 33
Trayveon Williams, 0
Chase Winovich, 11
Renell Wren, 2
Oshane Ximines, 8
Rock Ya-Sin, 15

